origen,destino,distancia
Shibukawa,Arosbaya,3480.925
Zhoupu,Lampari,9875.805
Guarumal,Spokoynaya,7812.264
Nyrob,Pangligaran,9133.279
Devon,Duzhenwan,5406.981
Centro Habana,Puzi,6329.298
Szczerbice,Comapa,7556.252
Santo Amaro,Kota Bharu,4636.078
Moluo,Kuala Lumpur,7137.683
Pasinan Barat,Fonte da Aldeia,5675.821
Ipoh,Chutove,5921.376
Akita Shi,Hengshi,3405.245
El Corpus,Olonets,1035.133
Aguas Verdes,Stegna,5758.587
Criuleni,Karangnongko,7227.192
Asker,Ninghai,5822.493
Maddarulug Norte,Malaga,2259.948
Jingdu,Dicamay,4683.817
Huifa,Sarrazola,4845.761
Shenavan,Laylay,5748.847
Fubin,Nanmu,1012.163
Des Moines,Oenam,2490.704
Bruxelles,Vishow,6378.813
Luzern,Kuloy,4047.499
Lexington,Roriz,1904.807
Papeete,Boulaouane,8276.859
Annecy,Rettikhovka,1666.918
Xiongshan,Palca,2348.739
Lexington,Cheongpyeong,8233.804
Orichi,Franca,3743.96
Graksop,Armen,8968.895
Yeysk,Laoxialu,8192.317
